Airport type,Description,Area served,Airport name,IATA,ICAO,Operational,Owned/operated by,Unnamed: 7
International,Airport that handles both international and domestic traffic.,,,,,,,
International (CE),"A civil enclave airport primarily used by the Indian Armed Forces, but has separate commercial terminal(s) to handle international and domestic traffic.",,,,,,,
Customs,"Airport with customs checking and clearance facility, and handles domestic traffic. A very limited number of international flights also operate from some of these customs airports for limited periods of time.",,,,,,,
Domestic,Airport that handles only domestic traffic.,,,,,,,
Domestic (CE),"A civil enclave airport primarily used by the Indian Armed Forces, but has separate commercial terminal(s) to handle domestic traffic.",,,,,,,
State/Private,An airport under the control of state governments and/or private entities.,,,,,,,
Domestic,,Donakonda,Donakonda Airport,,VODK,No,AAI,
Domestic,,Kadapa,Kadapa Airport,CDP,VOCP,Yes,AAI,
Domestic,,Kurnool,Uyyalawada Narasimha Reddy Airport,KJB,VOKU,Yes,Government of Andhra Pradesh,
State/Private,,Puttaparthi,Sri Sathya Sai Airport,PUT,VOPN,Yes,Sri Sathya Sai Central Trust,
Domestic,,Rajahmundry,Rajahmundry Airport,RJA,VORY,Yes,AAI,
Domestic,,Tirupati,Tirupati Airport,TIR,VOTP,Yes,AAI,
International,,Vijayawada,Vijayawada International Airport,VGA,VOBZ,Yes,AAI,
International,,Visakhapatnam,Alluri Sitarama Raju International Airport,VOX,VOVO,No,GMR Group,
Customs,,Visakhapatnam,Visakhapatnam International Airport,VTZ,VOVZ,Yes,MoD and AAI,
Domestic,,Daporijo,Daporijo Airport,DEP,VEDZ,No,AAI,
Domestic,,Itanagar,Donyi Polo Airport,HGI,VEHO,Yes,AAI,
State/Private,,Pasighat,Pasighat Airport,IXT,VEPG,Yes,Government of Arunachal Pradesh,
Domestic,,Tezu,Tezu Airport,TEI,VETJ,Yes,AAI,
State/Private,,Ziro,Ziro Airport,ZER,VEZO,Yes,AAI,
Domestic,,Dhubri,Rupsi Airport,RUP,VERU,Yes,AAI,
Domestic,,Dibrugarh,Dibrugarh Airport,DIB,VEMN,Yes,AAI,
International,,Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,VEGT,Yes,Adani Group,
Domestic (CE),,Jorhat,Jorhat Airport,JRH,VEJT,Yes,MoD and AAI,
Domestic,,North Lakhimpur,Lilabari Airport,IXI,VELR,Yes,AAI,
Domestic (CE),,Silchar,Silchar Airport,IXS,VEKU,Yes,MoD and AAI,
Domestic (CE),,Tezpur,Tezpur Airport,TEZ,VETZ,Yes,MoD and AAI,
Domestic (CE),,Darbhanga,Darbhanga Airport,DBR,VEDH,Yes,MoD and AAI,
Customs,,Gaya,Gaya Airport,GAY,VEGY,Yes,AAI,
Domestic (CE),,Purnia,Purnia Airport,PXN,VEPU,Yes,MoD and AAI,
Domestic,,Muzaffarpur,Muzaffarpur Airport,MZU,VEMZ,No,Government of Bihar,
Customs,,Patna,Jay Prakash Narayan Airport,PAT,VEPT,Yes,AAI,
Domestic,,Raxaul,Raxaul Airport,,VERL,No,Government of Bihar,
Domestic,,Raipur,Swami Vivekananda Airport,RPR,VERP,Yes,AAI,
Domestic,,Bilaspur,Bilasa Devi Kevat Airport,PAB,VEBU,Yes,Government of Chhattisgarh,
State/Private,,Jagdalpur,Jagdalpur Airport,JGB,VEJR,Yes,Government of Chhattisgarh,
Domestic,,Ambikapur,Ambikapur Airport,AHA,VEAP,Yes,Government of Chhattisgarh,
State/Private,,Raigarh,Raigarh Airport,,VERH,No,JSPL,
State/Private,,Korba,Korba Airport,,IN-0026,Yes,Government of Chhattisgarh and Bharat Aluminium Company,
International (CE),,Dabolim,Dabolim Airport,GOI,VOGO,Yes,MoD and AAI,
International,,Mopa,Manohar International Airport,GOX,VOGA,Yes,GMR Group,
International,,Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,VAAH,Yes,Adani Group,
Domestic,,Amreli,Amreli Airport,,,No,Government of Gujarat,
Domestic,,Bhavnagar,Bhavnagar Airport,BHU,VABV,Yes,AAI,
Domestic (CE),,Bhuj,Bhuj Airport,BHJ,VABJ,Yes,MoD and AAI,
Domestic,,Deesa,Deesa Airport,,VADS,No,AAI,
International,,Dholera,Dholera International Airport,,,No,AAI,
