Area served,Airport name,Airport URL,IATA,ICAO,Airport type,Operational,Owned/operated by,lat,lon,infobox_owner,infobox_operator,infobox_location,stats_passengers,stats_aircraft_movements,stats_cargo_tonnage,error
Donakonda,Donakonda Airport,https://en.wikipedia.org/wiki/Donakonda_Airport,,VODK,Domestic,No,AAI,15.82444,79.48667,,Airports Authority of India,"Donakonda , Andhra Pradesh",,,,
Kadapa,Kadapa Airport,https://en.wikipedia.org/wiki/Kadapa_Airport,CDP,VOCP,Domestic,Yes,AAI,14.51,78.77278,Airports Authority of India,Airports Authority of India,"Kadapa, Andhra Pradesh , India","52,745","1,557",,
Kurnool,Uyyalawada Narasimha Reddy Airport,https://en.wikipedia.org/wiki/Kurnool_Airport,KJB,VOKU,Domestic,Yes,Government of Andhra Pradesh,15.70611,78.16083,Andhra Pradesh Airports Development Corporation Limited (APADCL),,"Orvakal , Kurnool district , Andhra Pradesh , India","39,746","1,311",,
Puttaparthi,Sri Sathya Sai Airport,https://en.wikipedia.org/wiki/Sri_Sathya_Sai_Airport,PUT,VOPN,State/Private,Yes,Sri Sathya Sai Central Trust,14.14917,77.79111,,,Puttaparthi,,,,
Rajahmundry,Rajahmundry Airport,https://en.wikipedia.org/wiki/Rajahmundry_Airport,RJA,VORY,Domestic,Yes,AAI,17.11028,81.81833,,Airports Authority of India,"Madhurapudi, Rajamahendravaram, Andhra Pradesh , India","489,114","8,441",25,
Tirupati,Tirupati Airport,https://en.wikipedia.org/wiki/Tirupati_Airport,TIR,VOTP,Domestic,Yes,AAI,13.63778,79.54722,,,"Renigunta , Tirupati district , Andhra Pradesh , India","995,640","12,043",134,
Vijayawada,Vijayawada International Airport,https://en.wikipedia.org/wiki/Vijayawada_Airport,VGA,VOBZ,International,Yes,AAI,16.52889,80.79583,Airports Authority of India,Airports Authority of India,"Gannavaram , Krishna district , Andhra Pradesh , India","1,388,943","18,558","1,413",
Visakhapatnam,Alluri Sitarama Raju International Airport,https://en.wikipedia.org/wiki/Alluri_Sitarama_Raju_International_Airport,VOX,VOVO,International,No,GMR Group,17.97611,83.50389,,,"Bhogapuram , Vizianagaram district , Andhra Pradesh , India",,,,
Visakhapatnam,Visakhapatnam International Airport,https://en.wikipedia.org/wiki/Visakhapatnam_International_Airport,VTZ,VOVZ,Customs,Yes,MoDandAAI,17.72111,83.22444,Indian Navy,Indian Navy Airports Authority of India,"Visakhapatnam, Andhra Pradesh , India","2,955,089","22,210","4,398",
Daporijo,Daporijo Airport,https://en.wikipedia.org/wiki/Daporijo_Airport,DEP,VEDZ,Domestic,No,AAI,27.98333,94.21667,,Indian Air Force,"Daporijo , Arunachal Pradesh , India",,,,
